bestEpoch=46	 MRR = 0.0863	 Hit@5=0.0866	 NDCG@5=0.0646	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=50	 MRR = 0.0874	 Hit@5=0.0866	 NDCG@5=0.0655	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=52	 MRR = 0.0891	 Hit@5=0.0866	 NDCG@5=0.0668	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=54	 MRR = 0.0894	 Hit@5=0.0866	 NDCG@5=0.0669	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=2	 MRR = 0.1069	 Hit@5=0.1173	 NDCG@5=0.0901	 dataset=./DataProcess/Tmall/TmallCarSequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=4	 MRR = 0.1243	 Hit@5=0.1285	 NDCG@5=0.1074	 dataset=./DataProcess/Tmall/TmallCarSequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=10	 MRR = 0.1247	 Hit@5=0.1453	 NDCG@5=0.1116	 dataset=./DataProcess/Tmall/TmallCarSequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=20	 MRR = 0.1245	 Hit@5=0.1508	 NDCG@5=0.1128	 dataset=./DataProcess/Tmall/TmallCarSequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=22	 MRR = 0.1287	 Hit@5=0.1564	 NDCG@5=0.1178	 dataset=./DataProcess/Tmall/TmallCarSequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.0596	 Hit@5=0.0604	 NDCG@5=0.037	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=4	 MRR = 0.0699	 Hit@5=0.0682	 NDCG@5=0.0472	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=8	 MRR = 0.0788	 Hit@5=0.0814	 NDCG@5=0.0589	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=10	 MRR = 0.0748	 Hit@5=0.0866	 NDCG@5=0.0579	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=18	 MRR = 0.0782	 Hit@5=0.084	 NDCG@5=0.0593	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=22	 MRR = 0.0837	 Hit@5=0.0814	 NDCG@5=0.0614	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=24	 MRR = 0.0828	 Hit@5=0.0892	 NDCG@5=0.064	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=30	 MRR = 0.0875	 Hit@5=0.0971	 NDCG@5=0.0689	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=58	 MRR = 0.0898	 Hit@5=0.0945	 NDCG@5=0.0718	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=60	 MRR = 0.092	 Hit@5=0.0971	 NDCG@5=0.0737	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=68	 MRR = 0.0973	 Hit@5=0.0997	 NDCG@5=0.0768	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=100	 MRR = 0.093	 Hit@5=0.1102	 NDCG@5=0.0779	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=LightGCN	 downEpoch=0
bestEpoch=2	 MRR = 0.0567	 Hit@5=0.058	 NDCG@5=0.0352	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=4	 MRR = 0.0698	 Hit@5=0.0748	 NDCG@5=0.0494	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=6	 MRR = 0.0865	 Hit@5=0.094	 NDCG@5=0.0672	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=8	 MRR = 0.098	 Hit@5=0.107	 NDCG@5=0.0794	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=10	 MRR = 0.1069	 Hit@5=0.1167	 NDCG@5=0.0887	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=12	 MRR = 0.1121	 Hit@5=0.1246	 NDCG@5=0.0948	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=14	 MRR = 0.1161	 Hit@5=0.1293	 NDCG@5=0.0989	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=16	 MRR = 0.1183	 Hit@5=0.1324	 NDCG@5=0.1013	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=18	 MRR = 0.1205	 Hit@5=0.1347	 NDCG@5=0.1034	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=20	 MRR = 0.1214	 Hit@5=0.1376	 NDCG@5=0.105	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=22	 MRR = 0.1228	 Hit@5=0.1385	 NDCG@5=0.1062	 dataset=./DataProcess/Tmall/TmallLikeGraphTest.csv	 model=BPR	 downEpoch=0
